STT,Câu hỏi,1,2,3,4,Đáp án
62,Agribank huy động kỳ hạn gửi nào đối với tài khoản Tiền gửi trực tuyến?,A. Dưới 12 tháng.,B. Từ 12 tháng đến dưới 24 tháng.,C. Từ 24 tháng trở lên.,"D. Cả A, B, C",1
63,Agribank không chấp nhận thanh toán tiền gửi tiết kiệm cho người được úy quyền trong các trường hợp nào?,"Chữ ký/điểm chỉ của người ủy quyền không đúng mẫu đã đăng ký, lưu trtt tại Agribank và trên Ipcas; Chữ ký của người được ùy quyền trên chứng từ giao dịch không đúng với giấy ủy quyền",Người được ủy quyền không có giấy tờ xác minh thông tin còn thời hạn hiệu lực hoặc có nhưng thông tin không đúng với giấy ủy quyền hoặc Giấy ủy quyền đã hết hiệu lực.,"TGTK đang được sử dụng làm tài sàn bảo đảm, Thẻ tiết kiệm đang trong thời gian theo dõi báo mất, báo hỏng. Các trường hợp khác theo quy định của pháp luật.",Tất cả các trường hợp trên,4
64,Agribank không được cấp tín dụng trong trường hợp nào sau đây,"Cấp tín dụng để góp vốn, mua cổ phần của tổ chức tín dụng",Cấp tín dụng có bảo đảm bằng trái phiếu do Agribank phát hành,"Cấp tín dụng cho người thẩm định, đề xuất và xét duyệt cấp tín dụng",Cả đáp án 1 và 3,1
65,Agribank không được cấp tín dụng trong trường hợp nào sau đây:,"A. Cấp tín dụng để góp vốn, mua cổ phần của tổ chức tín dụng.",B. Cấp tín dụng có bảo đảm bằng cổ phiếu.,"C. Cấp tín dụng cho người thẩm định, đề xuất và xét duyệt cấp tín dụng.",D. Không có quy định.,1
66,Agribank không được cho vay đối tượng nào sau đây:,A. Kế toán trưởng của Agribank; Kiểm toán viên đang kiểm toán tại Agribank.,B. Công ty con của Agribank.,"C. Cha, mẹ, vợ, chồng, con của thành viên Hội đồng thành viên, thành viên Ban kiểm soát, Tổng giám đốc, Phó Tổng giám đốc của Agribank (trừ trường hợp cho vay thông qua việc phát hành thẻ tín dụng).",D. Công ty liên kết của Agribank.,3
67,Agribank không được cho vay đối với các nhu cầu vốn:,"A. Để trả nợ khoản cấp tín dụng tại chính Agribank trong trường hợp cho vay để thanh toán lãi tiền vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của pháp luật.",B. Để trả nợ tại tổ chức tín dụng khác trong trường hợp trả nợ trước hạn khoản vay đáp ứng đầy đủ các điều kiện: khoản vay phục vụ hoạt động kinh doanh; khoản vay chưa thực hiện cơ cấu lại thời hạn trả nợ; thời hạn cho vay không vượt quá thời hạn cho vay còn lại của khoản vay cũ.,C. Để mua vàng miếng.,"D. Cả A, B và C đều đúng.",3
68,"Agribank không được kinh doanh bất động sản, trừ các trường hợp nào sau đây?",Làm trụ sờ kinh doanh hoặc địa điểm làm việc của Agribank.,Làm cơ sở kho tàng phục vụ trực tiếp cho các hoạt động nghiệp vụ của Agribank.,"Cho thuê một phần trụ sở kinh doanh chưa sử dụng hết, thuộc sờ hữu của Agribank.",Tất cả các đáp án trên.,4
69,Agribank không thu phí trả nợ trước hạn trong trường hợp nào?,"Cho vay bảo đảm bằng giấy tờ có giá, thẻ tiết kiệm do Agribank phát hành",Cho vay theo hạn mức tín dụng; thấu chi tài khoản; cho vay thẻ tín dụng,Cho vay hộ sản xuất cá nhân thuộc 05 lĩnh vực ưu tiên theo quy địnhThông tư số 39/2016/TT-NHNN ngày 30/12/2016 của Thống đốc NHNN,Tất cả các phương án trên đều đúng,4
70,Agribank không thực hiện phong tỏa số tiền trên tài khoản thanh toán mở bằng phương thức điện tử của khách hàng trong trường hợp nào sau đây?,Có yêu cầu bằng văn bản của cơ quan Nhà nước có thẩm quyền theo quy định của pháp luật.,"Phát hiện có dấu hiệu gian lận, vi phạm pháp luật liên quan đến tài khoản thanh toán.","Phát hiện có rủi ro, sai lệch hoặc có dấu hiệu bất thường giữa các thông tin nhận biết khách hàng với các yếu tố sinh trắc học của khách hàng.",Không có đáp án đúng.,4
71,"Agribank miễn lãi cho toàn bộ giao dịch thanh toán hàng hóa, dịch vụ phát sinh trong kỳ sao kê của thẻ tín dụng quốc tế khi nào?","Đến hạn thanh toán, chủ thẻ thanh toán đủ số tiền thanh toán tối thiểu.","Đến hạn thanh toán, chủ thê thanh toán 50% dư nợ cuối kỳ.","Đen hạn thanh toán, chủ thẻ thanh toán toàn bộ dư nợ cuối kỳ (bao gồm cả dư nợ ứng tiền mặt).",Tất cả đáp án trên.,3
72,"Agribank nhận tài sản bảo đảm vốn vay là dây chuyền sản xuất. Agribank giữ giấy tờ chứng minh quyền sở hữu, khách hàng sử dụng dây chuyền để sản xuất. Biện pháp bảo đảm này gọi là gì?",A. Thế chấp tài sản.,B. Cầm cố tài sản.,C. Tín chấp.,D. Không có đáp án nào đúng.,1
73,Agribank nơi cấp bảo lãnh có thể thực hiện phát hành cam kết bảo lãnh dưới hình thức nào sau đây?,A. Thư bảo lãnh.,C. Thỏa thuận cấp bảo lãnh.,B. Hợp đồng bảo lãnh.,D. Cả (A) và (B) đều đúng.,4
74,Agribank nơi cấp bảo lãnh phát hành thư bảo lãnh gồm mấy bản?,A. 01 bản gốc và 02 bản chính.,B. 01 bản gốc và 01 bản chính.,C. 01 bản gốc và 03 bản chính.,D. 01 bản gốc và 04 bản chính.,3
75,Agribank nơi cho vay chủ động giải chấp tài sản cầm cố là giấy tờ có giá/thẻ tiết kiệm của khách hàng do Agribank phát hành để thu nợ tất toán khoản vay. Người ký nhận trên phiếu xuất kho là:,Người quản lý khoản cấp tín dụng (người quản lý nợ),Giao dịch viên,Người vay,Không phải ký nhận,1
76,"Agribank nơi cho vay cơ cấu lại thời hạn trả nợ, miễn giảm lãi, phí giữ nguyên nhóm nợ đối với khoản bị ảnh hưởng bởi dịch Covid-19 phát sinh nghĩa vụ trả nợ gốc và/hoặc lãi trong khỏng thời gian:",A. Từ ngày 23/01/2020 trở về sau;,B. Từ trước ngày 23/01/2020 đến ngày liền kề sau 3 tháng kể từ ngày Thủ tướng công bố hết dịch;,C. Từ ngày 23/01/2020 đến ngày liền kề sau 3 tháng kể tù ngày Thủ tướng công bố hết dịch;,D. Từ ngày 23/01/2020 đến hết năm 2020.,3
77,Agribank nơi cho vay được quyền và có trách nhiệm ngừng giải ngân để xử lý theo thỏa thuận cho vay đã ký khi khách hàng vi phạm quy định cho vay:,A. Khách hàng sử dụng vốn không đúng mục dích.,B. Vi phạm các nội dung trong thỏa thuận cho vay.,C. Vi phạm các nội dung trong thỏa thuận cho vay (bao gồm cả các khoản vay phê duyệt của Agribank cấp trên.,D. Khách hàng sử dụng vốn không đúng mục đích; Vi phạm các nội dung trong thỏa thuận cho vay (bao gồm cả các khoản vay phê duyệt của Agribank cấp trên.,4
78,Agribank nơi cho vay được quyết định phương thức giải ngân sử dụng dịch vụ thanh toán không dùng tiền mặt hoặc bằng tiền mặt trong trường hợp nào sau đây?,"A. Khoản thanh toán có giá trị dưới 20 triệu đồng, trừ trường hợp các khoản thanh toán trong ngày có giá trị dưới 20 triệu đồng cho cùng một mục đích, một đối tượng thanh toán nhưng tổng các khoản thanh toán này lớn hơn 20 triệu đồng.","B. Khoản thanh toán, chi trả cho bên thụ hưởng (không bao gồm pháp nhân) có tài khoản thanh toán tại tổ chức cung ứng dịch vụ thanh toán với số tiền vay ghi trong thỏa thuận cho vay có giá trị không vượt quá 200.000.000 (Hai trăm triệu đồng).",C. Khoản thanh toán có giá trị dưới 30 triệu đồng.,D. Khoản thanh toán có giá trị dưới 50 triệu đồng.,1
79,Agribank nơi cho vay và khách hàng thỏa thuận về lãi suất cho vay ngắn hạn bằng đồng Việt Nam nhưng không vượt quá mức lãi suất cho vay tối đa do Thống đốc NHNN quy định đối với nhu cầu vốn cho các lĩnh vực nào sau đây?,"Phát triển nông nghiệp, nông thôn.",Kinh doanh hàng xuất khẩu.,Phát triển ngành công nghiệp hỗ trợ.,Tất cả các đáp án trên.,4
80,Agribank nơi cho vay xem xét quyết định việc cơ cấu lại thời hạn trả nợ trên cơ sở:,A. Khả năng tài chính của khách hàng và kết quả đánh giá khả năng trả nợ của khách hàng.,"B. Đề nghị của khách hàng, khả năng tài chính của Agribank và kết quả đánh giá khả năng trả nợ của khách hàng sau khi được cơ cấu.",C. Kết quả đánh giá khả năng trả nợ của Agribank.,D. Đề nghị của Người quản lý nợ cho vay và khả năng tài chính của khách hàng.,2
81,Agribank nơi giao dịch không phải Agribank nơi mở tài khoản không được thực hiện:,Đóng tài khoản.,"Cung cấp thông tin, xác nhận số dư, sổ phụ tài khoản thanh toán.","Tạm khóa, phong tỏa tài khoản thanh toán.","Gửi, rút tiền tuân thủ quy định hiện hành của Agribank về gửi, rút tiền nhiều nơi",1
82,Agribank nơi giao dịch tiền gửi tiết kiệm phải thực hiện niêm yết công khai những nội dung nào sau đây?,"Lãi suất tiền gửi tiết kiệm, mức phí liên quan (nếu có), Loại ngoại tệ nhận tiền gửi tiết kiệm","Thủ tục giao dịch tiền gửi tiết kiệm, hình thức tiền gửi tiết kiệm","Biện pháp tra cứu tài khoản tiền gửi tiết kiệm, Xử lý đối với trường hợp nhàu nát, rách, mất Thẻ tiết kiệm",Tất cả các đáp án đều đúng,4
83,Agribank nơi mở tài khoản được đóng tài khoản thanh toán của khách hàng trong trường hợp nào sau đây:,"Chủ tài khoản có văn bản yêu cầu đóng tài khoản thanh toán và cam kết đã thực hiện đầy đủ các nghĩa vụ liên quan đến tài khoản thanh toán. Trường hợp chủ tài khoản là người chưa đủ 15 tuổi, người hạn chế năng lực hành vi dân sự, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi thì việc đóng tài khoản được thực hiện theo yêu cầu của người giám hộ, người đại diện theo pháp luật của chủ tài khoản.",Chủ tài khoản thanh toán của cá nhân đi công tác nước ngoài,Chủ tài khoản chuyển lệnh thanh toán vượt quá số dư tài khoản thanh toán.,Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 60 ngày.,1
84,Agribank nơi mở tài khoản thực hiện đóng tài khoản trong trường hợp nào sau đây:,Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 36 (ba mươi sáu) tháng.,Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 6 tháng.,Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 60 (sáu mươi) tháng.,Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 24 (hai mươi bốn) tháng.,1
85,Agribank nơi mở tài khoản thực hiện đóng tài khoản trong trường hợp nào sau đây?,A. Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 60 (sáu mươi) tháng.,B. Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 6 tháng.,C. Tài khoản thanh toán tạm khóa ở trạng thái tài khoản không hoạt động vượt quá 60 (sáu mươi) ngày.,"D. Tất cả các phương án A, B, C",1
86,Agribank nơi mở tài khoản thực hiện tạm khóa tài khoản thanh toán trong trường hợp nào sau đây:,Tài khoản thanh toán có số dư thấp hơn số dư tối thiểu.,Tài khoản thanh toán không phát sinh giao dịch.,Tài khoản thanh toán có số dư thấp hơn số dư tối thiểu và không phát sinh giao dịch trong thời gian 12 (mười hai) tháng.,Tài khoản thanh toán có số dư thấp hơn số dư tối thiểu và không phát sinh giao dịch trong thời gian 06 (sáu) tháng.,3
